Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
C2H5OH	Ethanol	190.09897470	5.1E-06			"22(3,20)-22(2,21),g-"	-5.99449	-5.92460	282.83160	CDMS
C2H5OH	Ethanol	190.10493570	8.9E-06			"26(3,24)-25(4,21),anti"	-5.29314	-5.18490	305.41666	CDMS
C2H5OH	Ethanol	190.15716950	5.6E-06			"13(9,5)-14(8,6),g+"	-7.63366	-7.71120	231.33146	CDMS
C2H5OH	Ethanol	190.15716960	5.6E-06			"13(9,4)-14(8,7),g+"	-7.63366	-7.71120	231.33146	CDMS
C2H5OH	Ethanol	190.27353480	4.4E-06			"11(10,1)-10(10,0),g-"	-4.98286	-5.14180	239.27900	CDMS
C2H5OH	Ethanol	190.27353480	4.4E-06			"11(10,2)-10(10,1),g-"	-4.98286	-5.14180	239.27900	CDMS
C2H5OH	Ethanol	190.28571580	3.6E-06			"11(9,2)-10(9,1),g-"	-4.70316	-4.82840	215.98002	CDMS
C2H5OH	Ethanol	190.28571580	3.6E-06			"11(9,3)-10(9,2),g-"	-4.70316	-4.82840	215.98002	CDMS
C2H5OH	Ethanol	190.30876950	3.1E-06			"11(8,3)-10(8,2),g-"	-4.54952	-4.64460	195.11499	CDMS
C2H5OH	Ethanol	190.30876950	3.1E-06			"11(8,4)-10(8,3),g-"	-4.54952	-4.64460	195.11499	CDMS
C2H5OH	Ethanol	190.32704750	5E-06			"18(4,14)-17(5,12),g-"	-5.15884	-5.08900	223.78742	CDMS
C2H5OH	Ethanol	190.33733520	4.1E-06			"6(2,4)-5(1,5),g+"	-6.61265	-6.78790	79.28543	CDMS
C2H5OH	Ethanol	190.34559790	8E-06			"23(3,21)-22(4,18),g-"	-6.78456	-6.72390	301.86693	CDMS
C2H5OH	Ethanol	190.34687280	2.7E-06			"11(7,5)-10(7,4),g-"	-4.44830	-4.51680	176.68942	CDMS
C2H5OH	Ethanol	190.34687290	2.7E-06			"11(7,4)-10(7,3),g-"	-4.44830	-4.51680	176.68942	CDMS
C2H5OH	Ethanol	190.38134100	1.46E-05			"31(4,27)-32(1,31),g-"	-7.13960	-7.23760	499.31170	CDMS
C2H5OH	Ethanol	190.40783900	7.8E-06			"26(5,21)-26(4,22),g+"	-6.47938	-6.48020	380.28578	CDMS
C2H5OH	Ethanol	190.40847970	2.4E-06			"11(6,6)-10(6,5),g-"	-4.37640	-4.42190	160.70976	CDMS
C2H5OH	Ethanol	190.40849000	2.4E-06			"11(6,5)-10(6,4),g-"	-4.37640	-4.42190	160.70976	CDMS
C2H5OH	Ethanol	190.45905730	3.4E-06			"11(9,2)-10(9,1),g+"	-4.68033	-4.79810	210.55548	CDMS
C2H5OH	Ethanol	190.45905730	3.4E-06			"11(9,3)-10(9,2),g+"	-4.68033	-4.79810	210.55548	CDMS
C2H5OH	Ethanol	190.46127000	4E-06			"11(10,1)-10(10,0),g+"	-4.95911	-5.11050	233.77055	CDMS
C2H5OH	Ethanol	190.46127000	4E-06			"11(10,2)-10(10,1),g+"	-4.95911	-5.11050	233.77055	CDMS
C2H5OH	Ethanol	190.46451800	3E-06			"11(8,3)-10(8,2),g+"	-4.52727	-4.61500	189.79118	CDMS
C2H5OH	Ethanol	190.46451800	3E-06			"11(8,4)-10(8,3),g+"	-4.52727	-4.61500	189.79118	CDMS
C2H5OH	Ethanol	190.48315610	2.7E-06			"11(7,4)-10(7,3),g+"	-4.42614	-4.48740	171.47805	CDMS
C2H5OH	Ethanol	190.48315610	2.7E-06			"11(7,5)-10(7,4),g+"	-4.42614	-4.48740	171.47805	CDMS
C2H5OH	Ethanol	190.51214890	2.3E-06			"11(5,7)-10(5,6),g-"	-4.32375	-4.34990	147.18439	CDMS
C2H5OH	Ethanol	190.51298700	2.3E-06			"11(5,6)-10(5,5),g-"	-4.32374	-4.34990	147.18443	CDMS
C2H5OH	Ethanol	190.52518990	2.4E-06			"11(6,6)-10(6,5),g+"	-4.35401	-4.39240	155.61731	CDMS
C2H5OH	Ethanol	190.52520100	2.4E-06			"11(6,5)-10(6,4),g+"	-4.35401	-4.39240	155.61731	CDMS
C2H5OH	Ethanol	190.56926350	6.6E-06			"15(3,13)-15(2,13),g-"	-4.62126	-4.55450	172.45855	CDMS
C2H5OH	Ethanol	190.57957890	4E-06			"11(1,11)-10(0,10),anti"	-4.20598	-4.09800	54.42562	CDMS
C2H5OH	Ethanol	190.61055170	5.8E-06			"21(5,17)-20(6,15),g-"	-5.17793	-5.13150	284.60788	CDMS
C2H5OH	Ethanol	190.61260230	2.3E-06			"11(5,7)-10(5,6),g+"	-4.30032	-4.31950	142.21058	CDMS
C2H5OH	Ethanol	190.61350910	2.3E-06			"11(5,6)-10(5,5),g+"	-4.30032	-4.31950	142.21062	CDMS
C2H5OH	Ethanol	190.67483120	5.2E-06			"26(5,21)-26(4,22),anti"	-4.26363	-4.18920	327.89080	CDMS
C2H5OH	Ethanol	190.69017710	2.2E-06			"11(4,8)-10(4,7),g-"	-4.28516	-4.29570	136.12449	CDMS
C2H5OH	Ethanol	190.72847400	2.2E-06			"11(4,7)-10(4,6),g-"	-4.28487	-4.29550	136.12806	CDMS
C2H5OH	Ethanol	190.75317040	2.2E-06			"11(3,9)-10(3,8),g-"	-4.26007	-4.25830	127.51868	CDMS
C2H5OH	Ethanol	190.75577340	7.7E-06			"20(2,19)-20(1,20),g-"	-6.63252	-6.54080	238.80519	CDMS
C2H5OH	Ethanol	190.78469910	2.2E-06			"11(4,8)-10(4,7),g+"	-4.25868	-4.26240	131.26392	CDMS
C2H5OH	Ethanol	190.82640850	2.2E-06			"11(4,7)-10(4,6),g+"	-4.25838	-4.26220	131.26764	CDMS
C2H5OH	Ethanol	190.85520610	2.2E-06			"11(3,9)-10(3,8),g+"	-4.22263	-4.21420	122.76393	CDMS
C2H5OH	Ethanol	190.86657280	4.6E-06			"5(2,3)-4(0,4),g-"	-7.19387	-7.44240	78.96854	CDMS
C2H5OH	Ethanol	190.87892250	3.5E-06			"11(2,10)-10(2,9),anti"	-7.09266	-6.99370	60.18923	CDMS
C2H5OH	Ethanol	190.90131500	8.9E-06			"9(4,6)-10(1,9),anti"	-7.36666	-7.34740	57.89515	CDMS
C2H5OH	Ethanol	190.95169500	7.2E-06			"20(2,19)-20(1,20),g+"	-7.27022	-7.17220	234.14932	CDMS
C2H5OH	Ethanol	190.96919970	7.9E-06			"19(2,17)-18(4,15),g-"	-7.58100	-7.49580	227.97849	CDMS
C2H5OH	Ethanol	190.96955010	2.45E-05			"20(14,6)-20(12,8),anti"	-7.07752	-7.25130	421.87280	CDMS
C2H5OH	Ethanol	190.96955010	2.45E-05			"20(14,7)-20(12,9),anti"	-7.07752	-7.25130	421.87280	CDMS
C2H5OH	Ethanol	191.12806120	5.6E-06			"16(10,6)-17(9,9),g-"	-7.20730	-7.29550	297.39662	CDMS
C2H5OH	Ethanol	191.12806120	5.6E-06			"16(10,7)-17(9,8),g-"	-7.20730	-7.29550	297.39662	CDMS
C2H5OH	Ethanol	191.14983500	8.1E-06			"20(2,19)-20(0,20),g-"	-5.74904	-5.65820	238.80525	CDMS
C2H5OH	Ethanol	191.15316420	4.1E-06			"6(2,4)-5(1,5),g-"	-6.70410	-6.88800	83.99445	CDMS
C2H5OH	Ethanol	191.16523520	4.5E-06			"22(4,19)-22(3,20),g+"	-6.29807	-6.23700	287.27050	CDMS
C2H5OH	Ethanol	191.23484000	7.7E-06			"16(2,14)-15(3,13),g+"	-7.08069	-6.99470	176.90109	CDMS
C2H5OH	Ethanol	191.31743260	7.2E-06			"20(2,19)-20(0,20),g+"	-7.80750	-7.71030	234.14932	CDMS
C2H5OH	Ethanol	191.35373780	1.99E-05			"21(13,8)-21(11,11),anti"	-7.21208	-7.34270	405.75453	CDMS
C2H5OH	Ethanol	191.35373780	1.99E-05			"21(13,9)-21(11,10),anti"	-7.21208	-7.34270	405.75453	CDMS
C2H5OH	Ethanol	191.41086500	5.8E-06			"21(5,16)-20(6,14),g-"	-5.17208	-5.12750	284.64744	CDMS
C2H5OH	Ethanol	191.44298650	1.08E-05			"28(4,24)-28(3,26),g+"	-5.54008	-5.56620	417.98792	CDMS
C2H5OH	Ethanol	191.58059570	5E-06			"23(4,19)-22(5,18),g-"	-6.59810	-6.55510	312.16057	CDMS
C2H5OH	Ethanol	191.59023830	2.2E-06			"11(3,8)-10(3,7),g-"	-4.25486	-4.25510	127.61410	CDMS
C2H5OH	Ethanol	191.64366090	9.3E-06			"25(4,22)-25(3,22),g-"	-4.78869	-4.76820	352.11294	CDMS
C2H5OH	Ethanol	191.86564620	6.6E-06			"7(1,7)-6(1,5),g-"	-7.28953	-7.41470	85.26053	CDMS
C2H5OH	Ethanol	191.91092460	5.1E-06			"15(3,12)-14(4,10),g-"	-5.11069	-5.04770	172.99011	CDMS
C2H5OH	Ethanol	191.91282470	2.3E-06			"11(3,8)-10(3,7),g+"	-4.21709	-4.21120	122.88260	CDMS
C2H5OH	Ethanol	191.92534080	6.9E-06			"25(2,23)-25(1,24),g-"	-6.46853	-6.43260	341.01687	CDMS
C2H5OH	Ethanol	192.10774740	9.9E-06			"16(5,12)-17(2,15),anti"	-6.97901	-6.84990	145.77527	CDMS
C2H5OH	Ethanol	192.39492900	1.09E-05			"19(2,17)-19(1,19),g+"	-6.22920	-6.14010	223.08886	CDMS
C2H5OH	Ethanol	192.41303020	1.07E-05			"31(8,23)-30(6,24),anti"	-7.13515	-7.23530	497.65720	CDMS
C2H5OH	Ethanol	192.41415830	6.3E-06			"13(9,4)-14(8,7),g-"	-7.34739	-7.43780	236.73696	CDMS
C2H5OH	Ethanol	192.41415830	6.3E-06			"13(9,5)-14(8,6),g-"	-7.34739	-7.43780	236.73696	CDMS
C2H5OH	Ethanol	192.43064430	6.3E-06			"11(4,7)-11(2,9),g+"	-7.61040	-7.61780	131.26766	CDMS
C2H5OH	Ethanol	192.44760180	1.14E-05			"24(3,22)-23(4,19),g-"	-5.15919	-5.11340	321.39660	CDMS
C2H5OH	Ethanol	192.54350020	5E-06			"11(9,2)-10(9,1),anti"	-7.52822	-7.57310	156.98678	CDMS
C2H5OH	Ethanol	192.54350020	5E-06			"11(9,3)-10(9,2),anti"	-7.52822	-7.57310	156.98678	CDMS
C2H5OH	Ethanol	192.56508050	4.5E-06			"11(8,3)-10(8,2),anti"	-7.37501	-7.38910	135.68845	CDMS
