Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
CH3CCHv=0	MethylAcetylene			204.88908800	6E-05	12(7)-11(7)	-4.74878	-4.23580	416.76389	JPL
CH3CCHv=0	MethylAcetylene			204.88916620	5E-07	12(7)-11(7)	-5.22682	-4.41420	417.72327	CDMS
CH3CCHv=0	MethylAcetylene			204.93990800	6E-05	12(6)-11(6)	-4.69270	-3.74330	323.16753	JPL
CH3CCHv=0	MethylAcetylene			204.93993130	5E-07	12(6)-11(6)	-5.17071	-3.92140	323.93756	CDMS
CH3CCHv=0	MethylAcetylene			204.98286900	6E-05	12(5)-11(5)	-4.65033	-3.88740	243.97055	JPL
CH3CCHv=0	MethylAcetylene			204.98291860	5E-07	12(5)-11(5)	-5.12833	-4.06520	244.54362	CDMS
CH3CCHv=0	MethylAcetylene			205.01808000	6E-05	12(4)-11(4)	-4.61846	-3.76180	179.17312	JPL
CH3CCHv=0	MethylAcetylene			205.01811370	5E-07	12(4)-11(4)	-5.09643	-3.93930	179.56001	CDMS
CH3CCHv=0	MethylAcetylene			205.04540100	6E-05	12(3)-11(3)	-4.59519	-3.36460	128.77509	JPL
CH3CCHv=0	MethylAcetylene			205.04550060	5E-07	12(3)-11(3)	-5.07319	-3.54190	129.00155	CDMS
CH3CCHv=0	MethylAcetylene			205.06501500	6E-05	12(2)-11(2)	-4.57923	-3.59760	92.77645	JPL
CH3CCHv=0	MethylAcetylene			205.06507020	5E-07	12(2)-11(2)	-5.05721	-3.77470	92.87990	CDMS
CH3CCHv=0	MethylAcetylene			205.07677500	6E-05	12(1)-11(1)	-4.56998	-3.55710	71.17736	JPL
CH3CCHv=0	MethylAcetylene			205.07681640	5E-07	12(1)-11(1)	-5.04797	-3.73410	71.20369	CDMS
CH3CCHv=0	MethylAcetylene			205.08066000	6E-05	12(0)-11(0)	-4.56689	-3.54360	63.97766	JPL
CH3CCHv=0	MethylAcetylene			205.08073220	5E-07	12(0)-11(0)	-5.04492	-3.72060	63.97766	CDMS
CH3CCHv=0	MethylAcetylene	221.95949660	1.14E-05			13(7)-12(7)	-4.61122	-4.11440	427.41626	JPL
CH3CCHv=0	MethylAcetylene	221.95950000	1E-07			13(7)-12(7)	-5.08927	-4.29280	428.37563	CDMS
CH3CCHv=0	MethylAcetylene			222.01444800	6E-05	13(6)-12(6)	-4.56624	-3.63300	333.82239	JPL
CH3CCHv=0	MethylAcetylene	222.01447950	1E-07			13(6)-12(6)	-5.04426	-3.81110	334.59257	CDMS
CH3CCHv=0	MethylAcetylene	222.06103440	7.7E-06			13(5)-12(5)	-4.53147	-3.78470	254.62775	JPL
CH3CCHv=0	MethylAcetylene	222.06103650	1E-07			13(5)-12(5)	-5.00947	-3.96250	255.20081	CDMS
CH3CCHv=0	MethylAcetylene	222.09915140	5.4E-06			13(4)-12(4)	-4.50489	-3.66440	189.83219	JPL
CH3CCHv=0	MethylAcetylene	222.09915320	1E-07			13(4)-12(4)	-4.98286	-3.84190	190.21907	CDMS
CH3CCHv=0	MethylAcetylene			222.12880800	6E-05	13(3)-12(3)	-4.48532	-3.27090	139.43556	JPL
CH3CCHv=0	MethylAcetylene	222.12881490	1E-07			13(3)-12(3)	-4.96333	-3.44820	139.66202	CDMS
CH3CCHv=0	MethylAcetylene	222.15000840	1.7E-06			13(2)-12(2)	-4.47177	-3.50630	103.43801	JPL
CH3CCHv=0	MethylAcetylene	222.15001000	1E-07			13(2)-12(2)	-4.94985	-3.68350	103.54146	CDMS
CH3CCHv=0	MethylAcetylene	222.16272870	1.1E-06			13(1)-12(1)	-4.46391	-3.46720	81.83939	JPL
CH3CCHv=0	MethylAcetylene	222.16273040	1E-07			13(1)-12(1)	-4.94190	-3.64420	81.86572	CDMS
CH3CCHv=0	MethylAcetylene			222.16697000	5E-06	13(0)-12(0)	-4.46122	-3.45410	74.63985	JPL
CH3CCHv=0	MethylAcetylene	222.16697110	1E-07			13(0)-12(0)	-4.93925	-3.63110	74.63985	CDMS
CH3CCHv=0	MethylAcetylene	239.02893080	1E-07			14(7)-13(7)	-4.96781	-4.18850	439.84719	CDMS
CH3CCHv=0	MethylAcetylene	239.02893250	1.74E-05			14(7)-13(7)	-4.48977	-4.01010	438.88767	JPL
CH3CCHv=0	MethylAcetylene	239.08812160	1E-07			14(6)-13(6)	-4.93070	-3.71470	346.06691	CDMS
CH3CCHv=0	MethylAcetylene			239.08814400	6E-05	14(6)-13(6)	-4.45268	-3.53660	345.29688	JPL
CH3CCHv=0	MethylAcetylene	239.13824480	1E-07			14(5)-13(5)	-4.90151	-3.87170	266.67763	CDMS
CH3CCHv=0	MethylAcetylene	239.13824690	1.1E-05			14(5)-13(5)	-4.42351	-3.69390	266.10457	JPL
CH3CCHv=0	MethylAcetylene			239.17924800	6E-05	14(4)-13(4)	-4.40103	-3.57770	201.31087	JPL
CH3CCHv=0	MethylAcetylene	239.17928120	1E-07			14(4)-13(4)	-4.87900	-3.75520	201.69776	CDMS
CH3CCHv=0	MethylAcetylene	239.21121490	1E-07			14(3)-13(3)	-4.86226	-3.36430	151.14226	CDMS
CH3CCHv=0	MethylAcetylene			239.21121600	6E-05	14(3)-13(3)	-4.38426	-3.18700	150.91579	JPL
CH3CCHv=0	MethylAcetylene			239.23401100	6E-05	14(2)-13(2)	-4.37270	-3.42440	114.91933	JPL
CH3CCHv=0	MethylAcetylene	239.23403360	1E-07			14(2)-13(2)	-4.85068	-3.60150	115.02278	CDMS
CH3CCHv=0	MethylAcetylene			239.24772720	5E-06	14(1)-13(1)	-4.36584	-3.38630	93.32148	JPL
CH3CCHv=0	MethylAcetylene	239.24772830	1E-07			14(1)-13(1)	-4.84383	-3.56330	93.34766	CDMS
CH3CCHv=0	MethylAcetylene	239.25229380	1E-07			14(0)-13(0)	-4.84158	-3.55060	86.12210	CDMS
CH3CCHv=0	MethylAcetylene			239.25229680	3E-06	14(0)-13(0)	-4.36355	-3.37360	86.12210	JPL
CH3CCHv=0	MethylAcetylene	256.09738890	1E-07			15(7)-14(7)	-4.85863	-4.09750	452.13778	CDMS
CH3CCHv=0	MethylAcetylene	256.09739840	2.48E-05			15(7)-14(7)	-4.38069	-3.91920	451.17841	JPL
CH3CCHv=0	MethylAcetylene	256.16078710	1E-07			15(6)-14(6)	-4.82741	-3.62960	358.36059	CDMS
CH3CCHv=0	MethylAcetylene	256.16079620	2.01E-05			15(6)-14(6)	-4.34939	-3.45150	357.59056	JPL
CH3CCHv=0	MethylAcetylene	256.21447320	1E-07			15(5)-14(5)	-4.80251	-3.79090	278.97393	CDMS
CH3CCHv=0	MethylAcetylene	256.21448180	1.51E-05			15(5)-14(5)	-4.32451	-3.61310	278.40087	JPL
CH3CCHv=0	MethylAcetylene	256.25842650	1E-07			15(4)-14(4)	-4.78320	-3.67760	213.99621	CDMS
CH3CCHv=0	MethylAcetylene	256.25843470	1.05E-05			15(4)-14(4)	-4.30513	-3.50000	213.60918	JPL
CH3CCHv=0	MethylAcetylene	256.29263010	1E-07			15(3)-14(3)	-4.76876	-3.28900	163.44225	CDMS
CH3CCHv=0	MethylAcetylene	256.29263780	6.5E-06			15(3)-14(3)	-4.29066	-3.11160	163.21579	JPL
CH3CCHv=0	MethylAcetylene	256.31707070	1E-07			15(2)-14(2)	-4.75868	-3.52770	127.32400	CDMS
CH3CCHv=0	MethylAcetylene	256.31707800	3.9E-06			15(2)-14(2)	-4.28060	-3.35050	127.22055	JPL
CH3CCHv=0	MethylAcetylene	256.33173880	1E-07			15(1)-14(1)	-4.75273	-3.49040	105.64966	CDMS
CH3CCHv=0	MethylAcetylene	256.33174590	2.9E-06			15(1)-14(1)	-4.27464	-3.31330	105.62333	JPL
CH3CCHv=0	MethylAcetylene	256.33662890	1E-07			15(0)-14(0)	-4.75078	-3.47800	98.42425	CDMS
CH3CCHv=0	MethylAcetylene	256.33663590	2.9E-06			15(0)-14(0)	-4.27275	-3.30100	98.42425	JPL
CH3CCHv=0	MethylAcetylene	273.16480490	1E-07			16(7)-15(7)	-4.75928	-4.01740	465.24757	CDMS
CH3CCHv=0	MethylAcetylene	273.16482540	3.38E-05			16(7)-15(7)	-4.28134	-3.83910	464.28820	JPL
CH3CCHv=0	MethylAcetylene	273.23240620	1E-07			16(6)-15(6)	-4.73255	-3.55400	371.47360	CDMS
CH3CCHv=0	MethylAcetylene	273.23242550	2.69E-05			16(6)-15(6)	-4.25454	-3.37590	370.70357	JPL
CH3CCHv=0	MethylAcetylene	273.28965150	1E-07			16(5)-15(5)	-4.71106	-3.71870	292.08969	CDMS
CH3CCHv=0	MethylAcetylene	273.28966980	2.02E-05			16(5)-15(5)	-4.23306	-3.54090	291.51663	JPL
CH3CCHv=0	MethylAcetylene	273.33651880	1E-07			16(4)-15(4)	-4.69424	-3.60790	227.11413	CDMS
CH3CCHv=0	MethylAcetylene	273.33653610	1.4E-05			16(4)-15(4)	-4.21627	-3.43040	226.72724	JPL
CH3CCHv=0	MethylAcetylene	273.37299000	1E-07			16(3)-15(3)	-4.68160	-3.22110	176.56201	CDMS
CH3CCHv=0	MethylAcetylene	273.37300640	9.1E-06			16(3)-15(3)	-4.20360	-3.04380	176.33555	JPL
CH3CCHv=0	MethylAcetylene	273.39905090	1E-07			16(2)-15(2)	-4.67281	-3.46110	140.44499	CDMS
CH3CCHv=0	MethylAcetylene	273.39906670	5.9E-06			16(2)-15(2)	-4.19483	-3.28400	140.34154	JPL
CH3CCHv=0	MethylAcetylene	273.41469160	1E-07			16(1)-15(1)	-4.66757	-3.42450	118.77141	CDMS
CH3CCHv=0	MethylAcetylene	273.41470690	4.7E-06			16(1)-15(1)	-4.18947	-3.24740	118.74508	JPL
CH3CCHv=0	MethylAcetylene	273.41990580	1E-07			16(0)-15(0)	-4.66582	-3.41230	111.54630	CDMS
CH3CCHv=0	MethylAcetylene	273.41992090	4.6E-06			16(0)-15(0)	-4.18779	-3.23530	111.54631	JPL
CH3CCHv=0	MethylAcetylene	290.23110910	1E-07			17(7)-16(7)	-4.66805	-3.94650	479.17639	CDMS
CH3CCHv=0	MethylAcetylene	290.23114490	4.43E-05			17(7)-16(7)	-4.19000	-3.76810	478.21702	JPL
CH3CCHv=0	MethylAcetylene	290.30290900	1E-07			17(6)-16(6)	-4.64482	-3.48660	385.40578	CDMS
CH3CCHv=0	MethylAcetylene	290.30294270	3.51E-05			17(6)-16(6)	-4.16670	-3.30840	384.63576	JPL
CH3CCHv=0	MethylAcetylene	290.36370980	1E-07			17(5)-16(5)	-4.62601	-3.65400	306.02479	CDMS
CH3CCHv=0	MethylAcetylene	290.36374160	2.62E-05			17(5)-16(5)	-4.14801	-3.47620	305.45173	JPL
CH3CCHv=0	MethylAcetylene	290.41348790	1E-07			17(4)-16(4)	-4.61120	-3.54520	241.05166	CDMS
CH3CCHv=0	MethylAcetylene	290.41351810	1.85E-05			17(4)-16(4)	-4.13323	-3.36770	240.66478	JPL
CH3CCHv=0	MethylAcetylene	290.45222430	1E-07			17(3)-16(3)	-4.60005	-3.15990	190.50138	CDMS
CH3CCHv=0	MethylAcetylene	290.45225310	1.24E-05			17(3)-16(3)	-4.12205	-2.98260	190.27506	JPL
CH3CCHv=0	MethylAcetylene	290.47990390	1E-07			17(2)-16(2)	-4.59227	-3.40090	154.38573	CDMS
CH3CCHv=0	MethylAcetylene	290.47993160	8.7E-06			17(2)-16(2)	-4.11428	-3.22380	154.28228	JPL
CH3CCHv=0	MethylAcetylene	290.49651590	1E-07			17(1)-16(1)	-4.58762	-3.36490	132.71291	CDMS
CH3CCHv=0	MethylAcetylene	290.49654300	7.4E-06			17(1)-16(1)	-4.10962	-3.18790	132.68659	JPL
CH3CCHv=0	MethylAcetylene	290.50205400	1E-07			17(0)-16(0)	-4.58607	-3.35290	125.48812	CDMS
CH3CCHv=0	MethylAcetylene	290.50208090	7.2E-06			17(0)-16(0)	-4.10814	-3.17600	125.48812	JPL
CH3CCHv=0	MethylAcetylene	307.29623210	1E-07			18(7)-17(7)	-4.58341	-3.88330	493.92424	CDMS
CH3CCHv=0	MethylAcetylene	307.29628820	5.67E-05			18(7)-17(7)	-4.10547	-3.70500	492.96473	JPL
CH3CCHv=0	MethylAcetylene	307.37222590	1E-07			18(6)-17(6)	-4.56298	-3.42620	400.15729	CDMS
CH3CCHv=0	MethylAcetylene	307.37227870	4.47E-05			18(6)-17(6)	-4.08507	-3.24820	399.38727	JPL
CH3CCHv=0	MethylAcetylene	307.43657800	1E-07			18(5)-17(5)	-4.54647	-3.59590	320.77934	CDMS
CH3CCHv=0	MethylAcetylene	307.43662800	3.35E-05			18(5)-17(5)	-4.06847	-3.41810	320.20628	JPL
CH3CCHv=0	MethylAcetylene	307.48926370	1E-07			18(4)-17(4)	-4.53336	-3.48880	255.80881	CDMS
CH3CCHv=0	MethylAcetylene	307.48931130	2.4E-05			18(4)-17(4)	-4.05539	-3.31130	255.42192	JPL
CH3CCHv=0	MethylAcetylene	307.53026270	1E-07			18(3)-17(3)	-4.52341	-3.10470	205.26050	CDMS
CH3CCHv=0	MethylAcetylene	307.53030840	1.67E-05			18(3)-17(3)	-4.04540	-2.92740	205.03404	JPL
CH3CCHv=0	MethylAcetylene	307.55955900	1E-07			18(2)-17(2)	-4.51642	-3.34650	169.14622	CDMS
CH3CCHv=0	MethylAcetylene	307.55960320	1.25E-05			18(2)-17(2)	-4.03854	-3.16950	169.04278	JPL
CH3CCHv=0	MethylAcetylene	307.57714130	1E-07			18(1)-17(1)	-4.51237	-3.31110	147.47417	CDMS
