Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
CH3CNv=0	MethylCyanide	202.16484930	2E-07			11(7)-10(7)	-3.53753	-3.01180	408.05202	JPL
CH3CNv=0	MethylCyanide	202.21537070	2E-07			11(6)-10(6)	-3.46510	-2.50420	315.31661	JPL
CH3CNv=0	MethylCyanide	202.25815440	2E-07			11(5)-10(5)	-3.41192	-2.63850	236.81258	JPL
CH3CNv=0	MethylCyanide	202.29318310	2E-07			11(4)-10(4)	-3.37277	-2.50640	172.55749	JPL
CH3CNv=0	MethylCyanide	202.32044250	2E-07			11(3)-10(3)	-3.34461	-2.10490	122.56630	JPL
CH3CNv=0	MethylCyanide	202.33992150	2E-07			11(2)-10(2)	-3.32554	-2.33520	86.85008	JPL
CH3CNv=0	MethylCyanide	202.35161200	2E-07			11(1)-10(1)	-3.31445	-2.29310	65.41704	JPL
CH3CNv=0	MethylCyanide	202.35550940	2E-07			11(0)-10(0)	-3.31078	-2.27910	58.27222	JPL
CH3CNv=0	MethylCyanide	220.53932350	2E-07			12(7)-11(7)	-3.37778	-2.86830	418.63631	JPL
CH3CNv=0	MethylCyanide	220.59442310	2E-07			12(6)-11(6)	-3.32175	-2.37710	325.90357	JPL
CH3CNv=0	MethylCyanide	220.64108390	2E-07			12(5)-11(5)	-3.27937	-2.52220	247.40174	JPL
CH3CNv=0	MethylCyanide	220.67928690	2E-07			12(4)-11(4)	-3.24741	-2.39730	183.14853	JPL
CH3CNv=0	MethylCyanide	220.70901650	2E-07			12(3)-11(3)	-3.22415	-2.00070	133.15875	JPL
CH3CNv=0	MethylCyanide	220.73026070	2E-07			12(2)-11(2)	-3.20818	-2.23410	97.44348	JPL
CH3CNv=0	MethylCyanide	220.74301060	2E-07			12(1)-11(1)	-3.19899	-2.19390	76.01122	JPL
CH3CNv=0	MethylCyanide	220.74726120	2E-07			12(0)-11(0)	-3.19582	-2.18040	68.86655	JPL
CH3CNv=0	MethylCyanide	238.91271540	2E-07			13(7)-12(7)	-3.24019	-2.74800	430.10239	JPL
CH3CNv=0	MethylCyanide	238.97238950	2E-07			13(6)-12(6)	-3.19526	-2.26790	337.37245	JPL
CH3CNv=0	MethylCyanide	239.02292410	2E-07			13(5)-12(5)	-3.16048	-2.42060	258.87312	JPL
CH3CNv=0	MethylCyanide	239.06429880	2E-07			13(4)-12(4)	-3.13391	-2.30110	194.62193	JPL
CH3CNv=0	MethylCyanide	239.09649660	2E-07			13(3)-12(3)	-3.11425	-1.90810	144.63356	JPL
CH3CNv=0	MethylCyanide	239.11950440	2E-07			13(2)-12(2)	-3.10078	-2.14400	108.91953	JPL
CH3CNv=0	MethylCyanide	239.13331290	2E-07			13(1)-12(1)	-3.09288	-2.10510	87.48789	JPL
CH3CNv=0	MethylCyanide	239.13791640	2E-07			13(0)-12(0)	-3.09022	-2.09210	80.34338	JPL
CH3CNv=0	MethylCyanide	257.28493490	2E-07			14(7)-13(7)	-3.11882	-2.64500	442.45024	JPL
CH3CNv=0	MethylCyanide	257.34917930	2E-07			14(6)-13(6)	-3.08168	-2.17270	349.72340	JPL
CH3CNv=0	MethylCyanide	257.40358430	2E-07			14(5)-13(5)	-3.05249	-2.33100	271.22655	JPL
CH3CNv=0	MethylCyanide	257.44812770	2E-07			14(4)-13(4)	-3.03003	-2.21560	206.97753	JPL
CH3CNv=0	MethylCyanide	257.48279150	2E-07			14(3)-13(3)	-3.01327	-1.82550	156.99087	JPL
CH3CNv=0	MethylCyanide	257.50756140	2E-07			14(2)-13(2)	-3.00169	-2.06330	121.27807	JPL
CH3CNv=0	MethylCyanide	257.52242750	2E-07			14(1)-13(1)	-2.99489	-2.02550	99.84706	JPL
CH3CNv=0	MethylCyanide	257.52738350	2E-07			14(0)-13(0)	-2.99263	-2.01290	92.70286	JPL
CH3CNv=0	MethylCyanide	275.65589160	2E-07			15(7)-14(7)	-3.00962	-2.55530	455.67972	JPL
CH3CNv=0	MethylCyanide	275.72470200	2E-07			15(6)-14(6)	-2.97838	-2.08890	362.95627	JPL
CH3CNv=0	MethylCyanide	275.78297350	2E-07			15(5)-14(5)	-2.95349	-2.25150	284.46219	JPL
CH3CNv=0	MethylCyanide	275.83068270	2E-07			15(4)-14(4)	-2.93422	-2.13930	220.21534	JPL
