Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
CH3OCHOv=0	MethylFormate	190.00673130	1.1E-06			"9(4,5)-9(1,8)E"	-6.76688	-7.05590	37.25755	JPL
CH3OCHOv=0	MethylFormate	190.02987570	1.2E-06			"9(4,5)-9(1,8)A"	-6.73505	-7.02410	37.24212	JPL
CH3OCHOv=0	MethylFormate			190.08681300	5E-05	"32(7,26)-31(8,23)A"	-5.76501	-5.96970	347.86306	JPL
CH3OCHOv=0	MethylFormate	190.09043940	1.6E-06			"32(7,26)-31(8,23)E"	-5.76481	-5.96950	347.85705	JPL
CH3OCHOv=0	MethylFormate			190.10204300	5E-05	"27(5,23)-27(4,24)E"	-5.09793	-5.22050	240.99479	JPL
CH3OCHOv=0	MethylFormate			190.16235800	5E-05	"27(5,23)-27(4,24)A"	-5.09790	-5.22060	240.99452	JPL
CH3OCHOv=0	MethylFormate	190.25876510	1.3E-06			"8(4,4)-8(1,7)A"	-6.96177	-7.29190	31.89311	JPL
CH3OCHOv=0	MethylFormate	190.63080490	1.9E-06			"27(11,16)-28(9,19)A"	-7.16749	-7.38210	303.75825	JPL
CH3OCHOv=0	MethylFormate	190.92033490	1.4E-06			"27(5,23)-27(3,24)E"	-5.44150	-5.56590	240.99478	JPL
CH3OCHOv=0	MethylFormate	190.92852160	5.4E-06			"25(19,6)-26(18,8)E"	-6.39199	-6.82420	430.95652	JPL
CH3OCHOv=0	MethylFormate	190.95318690	1.9E-06			"27(11,17)-28(9,20)A"	-7.16536	-7.38070	303.75818	JPL
CH3OCHOv=0	MethylFormate	190.95351250	6.4E-06			"25(19,7)-26(18,9)E"	-6.39183	-6.82410	430.95542	JPL
CH3OCHOv=0	MethylFormate	190.97843390	1.4E-06			"27(5,23)-27(3,24)A"	-5.44077	-5.56530	240.99455	JPL
CH3OCHOv=0	MethylFormate	190.98054700	4.6E-06			"25(19,6)-26(18,9)A"	-6.39166	-6.82400	430.96664	JPL
CH3OCHOv=0	MethylFormate	190.98054700	4.6E-06			"25(19,6)-26(18,9)A"	-6.39166	-6.82400	430.96664	JPL
CH3OCHOv=0	MethylFormate	190.99352100	1.5E-06			"22(6,17)-22(4,18)A"	-5.77272	-5.88810	174.44647	JPL
CH3OCHOv=0	MethylFormate	191.00336490	1.5E-06			"22(6,17)-22(4,18)E"	-5.77340	-5.88880	174.44924	JPL
CH3OCHOv=0	MethylFormate			191.21337900	5E-05	"25(8,17)-25(7,18)A"	-4.98283	-5.13250	235.34657	JPL
CH3OCHOv=0	MethylFormate			191.22297300	5E-05	"25(8,17)-25(7,18)E"	-4.98540	-5.13510	235.34617	JPL
CH3OCHOv=0	MethylFormate	191.32074500	1.5E-06			"13(5,9)-13(3,10)E"	-6.29686	-6.48430	70.47373	JPL
CH3OCHOv=0	MethylFormate	191.37873940	1.4E-06			"13(5,9)-13(3,10)A"	-6.27454	-6.46210	70.46471	JPL
CH3OCHOv=0	MethylFormate			191.43896300	5E-05	"21(1,20)-21(1,21)E"	-5.81300	-5.88710	131.60707	JPL
CH3OCHOv=0	MethylFormate			191.43998200	5E-05	"21(1,20)-21(0,21)E"	-5.58160	-5.65570	131.60712	JPL
CH3OCHOv=0	MethylFormate			191.48730000	5E-05	"21(2,20)-21(1,21)E"	-5.58129	-5.65550	131.60939	JPL
CH3OCHOv=0	MethylFormate	191.48823360	2.5E-06			"21(2,20)-21(0,21)E"	-5.81268	-5.88690	131.60944	JPL
CH3OCHOv=0	MethylFormate			191.53459900	5E-05	"21(1,20)-21(1,21)A"	-5.81200	-5.88630	131.59396	JPL
CH3OCHOv=0	MethylFormate	191.53561930	2.6E-06			"21(1,20)-21(0,21)A"	-5.58140	-5.65570	131.59387	JPL
CH3OCHOv=0	MethylFormate			191.58285700	5E-05	"21(2,20)-21(1,21)A"	-5.58109	-5.65550	131.59628	JPL
CH3OCHOv=0	MethylFormate	191.58380020	2.6E-06			"21(2,20)-21(0,21)A"	-5.81169	-5.88610	131.59618	JPL
CH3OCHOv=0	MethylFormate			191.58422700	5E-05	"25(4,22)-25(3,23)E"	-5.17983	-5.28150	201.61273	JPL
CH3OCHOv=0	MethylFormate			191.65826000	5E-05	"25(4,22)-25(3,23)A"	-5.17967	-5.28150	201.60851	JPL
CH3OCHOv=0	MethylFormate	191.72136340	1.6E-06			"25(4,22)-25(2,23)E"	-5.48193	-5.58390	201.61269	JPL
CH3OCHOv=0	MethylFormate	191.79491970	1.7E-06			"25(4,22)-25(2,23)A"	-5.48107	-5.58320	201.60859	JPL
CH3OCHOv=0	MethylFormate	191.80258330	1E-06			"10(4,6)-10(1,9)E"	-6.56269	-6.82090	43.22053	JPL
CH3OCHOv=0	MethylFormate	191.84774510	1.1E-06			"10(4,6)-10(1,9)A"	-6.55581	-6.81410	43.20630	JPL
CH3OCHOv=0	MethylFormate			191.88514100	5E-05	"23(2,21)-23(2,22)E"	-5.58281	-5.66780	165.12129	JPL
CH3OCHOv=0	MethylFormate			191.90097000	5E-05	"23(2,21)-23(1,22)E"	-5.31768	-5.40270	165.12133	JPL
CH3OCHOv=0	MethylFormate			191.97144200	5E-05	"23(2,21)-23(2,22)A"	-5.58184	-5.66700	165.11277	JPL
CH3OCHOv=0	MethylFormate			191.98720100	5E-05	"23(2,21)-23(1,22)A"	-5.31750	-5.40270	165.11267	JPL
CH3OCHOv=0	MethylFormate	192.06580900	3.3E-06			"16(15,1)-17(14,4)A"	-6.97336	-7.30550	229.48206	JPL
CH3OCHOv=0	MethylFormate	192.06580900	3.3E-06			"16(15,1)-17(14,4)A"	-6.97336	-7.30550	229.48206	JPL
CH3OCHOv=0	MethylFormate	192.09055280	1.9E-06			"33(9,24)-33(8,25)A"	-4.93744	-5.19140	387.89326	JPL
CH3OCHOv=0	MethylFormate	192.09099630	2.1E-06			"34(7,28)-33(8,25)A"	-5.86491	-6.10610	387.89328	JPL
CH3OCHOv=0	MethylFormate	192.12246410	2.1E-06			"34(7,28)-33(8,25)E"	-5.86445	-6.10570	387.88587	JPL
CH3OCHOv=0	MethylFormate	192.14209340	1.9E-06			"34(6,28)-34(5,29)E"	-4.99538	-5.23480	386.59264	JPL
