Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
CH3OHvt=0-2	Methanol	190.00016500	1.6E-05			"13(3,10)-14(-1,13)E,vt=0"	-9.58281	-9.02910	273.89814	CDMS
CH3OHvt=0-2	Methanol	190.02796800	1.3E-05			"3(-2,2)-3(-0,3)E,vt=0"	-9.14362	-8.83210	36.17244	CDMS
CH3OHvt=0-2	Methanol	190.12397900	1.2E-05			"4(-2,3)-4(-0,4)E,vt=0"	-8.89050	-8.48350	45.45941	CDMS
CH3OHvt=0-2	Methanol	190.32846400	1.2E-05			"5(-2,4)-5(-0,5)E,vt=0"	-8.70319	-8.22630	57.06901	CDMS
CH3OHvt=0-2	Methanol	190.45203200	2E-05			"20(-0,20)-19(-3,17)E,vt=0"	-6.51801	-6.10820	497.91869	CDMS
CH3OHvt=0-2	Methanol	190.69682500	1.1E-05			"6(-2,5)-6(-0,6)E,vt=0"	-8.55674	-8.02830	71.00145	CDMS
CH3OHvt=0-2	Methanol	191.29403000	1.1E-05			"7(-2,6)-7(-0,7)E,vt=0"	-8.44012	-7.87440	87.25741	CDMS
CH3OHvt=0-2	Methanol	191.73297800	1.4E-05			"6(-3,4)-7(-2,6)E,vt=0"	-5.05617	-4.56690	96.45911	CDMS
CH3OHvt=0-2	Methanol	191.81050300	4E-06			"4(1,4)-3(1,3)A,vt=0"	-4.55757	-4.14290	37.55360	CDMS
CH3OHvt=0-2	Methanol	192.19304900	1.1E-05			"8(-2,7)-8(-0,8)E,vt=0"	-8.34808	-7.75690	105.83751	CDMS
CH3OHvt=0-2	Methanol			192.77852000	5E-05	"4(1,4)-3(1,3)++,vt=1"	-4.55072	0.00000	348.38712	CDMS
CH3OHvt=0-2	Methanol	192.77858400	4E-06			"4(1,4)-3(1,3)A,vt=1"	-4.55034	-4.58780	348.38719	CDMS
CH3OHvt=0-2	Methanol			192.95270000	5E-05	"4(-3,1)-3(-3,0),vt=1"	-4.88365	0.00000	345.78268	CDMS
CH3OHvt=0-2	Methanol	192.95273500	4E-06			"4(3,2)-3(3,1)E,vt=1"	-4.88273	-4.91680	345.78202	CDMS
CH3OHvt=0-2	Methanol			192.95768000	5E-05	"4(3,2)-3(3,1),vt=1"	-4.88121	0.00000	440.56618	CDMS
CH3OHvt=0-2	Methanol	192.95773600	4E-06			"4(-3,1)-3(-3,0)E,vt=1"	-4.87880	-5.05010	440.56561	CDMS
CH3OHvt=0-2	Methanol			192.96210000	5E-05	"4(-2,2)-3(-2,1),vt=1"	-4.64598	0.00000	387.76355	CDMS
CH3OHvt=0-2	Methanol	192.96218500	4E-06			"4(2,3)-3(2,2)E,vt=1"	-4.64473	-4.73960	387.76315	CDMS
CH3OHvt=0-2	Methanol	192.96342400	4E-06			"4(3,2)-3(3,1)A,vt=1"	-4.88213	-5.02260	419.26361	CDMS
CH3OHvt=0-2	Methanol	192.96342600	4E-06			"4(3,1)-3(3,0)A,vt=1"	-4.88213	-5.02260	419.26361	CDMS
CH3OHvt=0-2	Methanol			192.96344500	5E-05	"4(3,2)-3(3,1)++,vt=1"	-4.88147	0.00000	419.26403	CDMS
CH3OHvt=0-2	Methanol			192.96344500	5E-05	"4(3,2)-3(3,1)++,vt=1"	-4.88147	0.00000	419.26403	CDMS
CH3OHvt=0-2	Methanol	192.96376800	4E-06			"4(2,3)-3(2,2)A,vt=1"	-4.64818	-4.64760	321.82648	CDMS
CH3OHvt=0-2	Methanol			192.96379200	5E-05	"4(2,2)-3(2,1)++,vt=1"	-4.64827	0.00000	321.82626	CDMS
CH3OHvt=0-2	Methanol			192.96553000	5E-05	"4(2,3)-3(2,2)--,vt=1"	-4.64826	0.00000	321.82634	CDMS
CH3OHvt=0-2	Methanol	192.96555600	4E-06			"4(2,2)-3(2,1)A,vt=1"	-4.64818	-4.64760	321.82656	CDMS
CH3OHvt=0-2	Methanol			192.97208000	5E-05	"4(1,4)-3(1,3),vt=1"	-4.55051	0.00000	314.62705	CDMS
CH3OHvt=0-2	Methanol	192.97211800	4E-06			"4(-1,4)-3(-1,3)E,vt=1"	-4.55069	-4.53970	314.62670	CDMS
CH3OHvt=0-2	Methanol			192.97368700	5E-05	"4(2,3)-3(2,2),vt=1"	-4.64610	0.00000	423.04705	CDMS
CH3OHvt=0-2	Methanol	192.97371500	4E-06			"4(-2,2)-3(-2,1)E,vt=1"	-4.64683	-4.79280	423.04706	CDMS
CH3OHvt=0-2	Methanol			192.97436000	5E-05	"4(0,4)-3(0,3),vt=1"	-4.52180	0.00000	323.73026	CDMS
CH3OHvt=0-2	Methanol	192.97437300	4E-06			"4(-0,4)-3(-0,3)E,vt=1"	-4.52190	-4.52410	323.73048	CDMS
CH3OHvt=0-2	Methanol			192.99603000	5E-05	"4(-1,3)-3(-1,2),vt=1"	-4.55055	0.00000	436.53083	CDMS
