Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
H2CS	Thioformaldehyde			198.09271210	0.0001	"19(1,18)-19(1,19)"	-5.34758	-4.90640	330.80510	CDMS
H2CS	Thioformaldehyde			202.92405400	5E-05	"6(1,6)-5(1,5)"	-3.92557	-2.72360	47.25840	CDMS
H2CS	Thioformaldehyde			205.94320500	5E-05	"6(5,2)-5(5,1)"	-4.40903	-3.67070	363.16870	CDMS
H2CS	Thioformaldehyde			205.94320500	5E-05	"6(5,2)-5(5,1)"	-4.40903	-3.67070	363.16870	CDMS
H2CS	Thioformaldehyde			205.98785780	5E-05	"6(0,6)-5(0,5)"	-3.89386	-3.15710	34.60903	CDMS
H2CS	Thioformaldehyde			206.00240110	5E-05	"6(4,2)-5(4,1)"	-4.14898	-3.71690	245.05108	CDMS
H2CS	Thioformaldehyde			206.00240110	5E-05	"6(4,2)-5(4,1)"	-4.14898	-3.71690	245.05108	CDMS
H2CS	Thioformaldehyde			206.05260210	5E-05	"6(3,4)-5(3,3)"	-4.01837	-2.97610	153.05833	CDMS
H2CS	Thioformaldehyde			206.05260210	5E-05	"6(3,4)-5(3,3)"	-4.01837	-2.97610	153.05833	CDMS
H2CS	Thioformaldehyde			206.05416490	5E-05	"6(2,5)-5(2,4)"	-3.94457	-3.28420	87.27920	CDMS
H2CS	Thioformaldehyde			206.15860190	5E-05	"6(2,4)-5(2,3)"	-3.94394	-3.28380	87.28925	CDMS
H2CS	Thioformaldehyde			209.20062040	5E-05	"6(1,5)-5(1,4)"	-3.88593	-2.69850	48.31282	CDMS
H2CS	Thioformaldehyde			218.80729200	0.0001	"20(1,19)-20(1,20)"	-5.37025	-4.88860	364.19657	CDMS
H2CS	Thioformaldehyde			236.72702040	5E-05	"7(1,7)-6(1,6)"	-3.71674	-2.53480	58.61941	CDMS
H2CS	Thioformaldehyde			240.26198750	5E-05	"7(5,2)-6(5,1)"	-3.99845	-3.28040	374.69935	CDMS
H2CS	Thioformaldehyde			240.26198750	5E-05	"7(5,2)-6(5,1)"	-3.99845	-3.28040	374.69935	CDMS
H2CS	Thioformaldehyde			240.26687240	5E-05	"7(0,7)-6(0,6)"	-3.68846	-2.97190	46.13993	CDMS
H2CS	Thioformaldehyde			240.33218970	5E-05	"7(4,4)-6(4,3)"	-3.85979	-3.44800	256.58514	CDMS
H2CS	Thioformaldehyde			240.33218970	5E-05	"7(4,4)-6(4,3)"	-3.85979	-3.44800	256.58514	CDMS
H2CS	Thioformaldehyde			240.38205120	5E-05	"7(2,6)-6(2,5)"	-3.72480	-3.08470	98.81576	CDMS
H2CS	Thioformaldehyde			240.39303700	5E-05	"7(3,5)-6(3,4)"	-3.77598	-2.75400	164.59535	CDMS
H2CS	Thioformaldehyde			240.39376180	5E-05	"7(3,4)-6(3,3)"	-3.77598	-2.75400	164.59538	CDMS
H2CS	Thioformaldehyde			240.51808150	0.0001	"21(1,20)-21(1,21)"	-5.36745	-4.87620	399.24856	CDMS
